car,model_year,country,attribute,value
ford pinto,1973,USA,HP,85.0
mercury capri v6,1973,USA,HP,107.0
fiat 124 sport coupe,1973,Europe,HP,90.0
chevrolet monte carlo s,1973,USA,HP,145.0
pontiac grand prix,1973,USA,HP,230.0
fiat 128,1973,Europe,HP,49.0
opel manta,1973,Europe,HP,75.0
audi 100ls,1973,Europe,HP,91.0
volvo 144ea,1973,Europe,HP,112.0
dodge dart custom,1973,USA,HP,150.0
saab 99le,1973,Europe,HP,110.0
toyota mark ii,1973,Japan,HP,122.0
oldsmobile omega,1973,USA,HP,180.0
plymouth duster,1974,USA,HP,95.0
amc hornet,1974,USA,HP,100.0
chevrolet nova,1974,USA,HP,100.0
datsun b210,1974,Japan,HP,67.0
ford pinto,1974,USA,HP,80.0
toyota corolla 1200,1974,Japan,HP,65.0
chevrolet vega,1974,USA,HP,75.0
chevrolet chevelle malibu classic,1974,USA,HP,100.0
amc matador,1974,USA,HP,110.0
plymouth satellite sebring,1974,USA,HP,105.0
ford gran torino,1974,USA,HP,140.0
buick century luxus (sw),1974,USA,HP,150.0
dodge coronet custom (sw),1974,USA,HP,150.0
ford gran torino (sw),1974,USA,HP,140.0
amc matador (sw),1974,USA,HP,150.0
audi fox,1974,Europe,HP,83.0
volkswagen dasher,1974,Europe,HP,67.0
opel manta,1974,Europe,HP,78.0
toyota corona,1974,Japan,HP,52.0
datsun 710,1974,Japan,HP,61.0
dodge colt,1974,USA,HP,75.0
fiat 128,1974,Europe,HP,75.0
fiat 124 tc,1974,Europe,HP,75.0
honda civic,1974,Japan,HP,97.0
subaru,1974,Japan,HP,93.0
fiat x1.9,1974,Europe,HP,67.0
plymouth valiant custom,1975,USA,HP,95.0
chevrolet nova,1975,USA,HP,105.0
mercury monarch,1975,USA,HP,72.0
ford maverick,1975,USA,HP,72.0
pontiac catalina,1975,USA,HP,170.0
chevrolet bel air,1975,USA,HP,145.0
plymouth grand fury,1975,USA,HP,150.0
ford ltd,1975,USA,HP,148.0
buick century,1975,USA,HP,110.0
chevroelt chevelle malibu,1975,USA,HP,105.0
amc matador,1975,USA,HP,110.0
plymouth fury,1975,USA,HP,95.0
buick skyhawk,1975,USA,HP,110.0
chevrolet monza 2+2,1975,USA,HP,110.0
ford mustang ii,1975,USA,HP,129.0
toyota corolla,1975,Japan,HP,75.0
ford pinto,1975,USA,HP,83.0
amc gremlin,1975,USA,HP,100.0
pontiac astro,1975,USA,HP,78.0
toyota corona,1975,Japan,HP,96.0
volkswagen dasher,1975,Europe,HP,71.0
datsun 710,1975,Japan,HP,97.0
ford pinto,1975,USA,HP,97.0
volkswagen rabbit,1975,Europe,HP,70.0
amc pacer,1975,USA,HP,90.0
audi 100ls,1975,Europe,HP,95.0
peugeot 504,1975,Europe,HP,88.0
volvo 244dl,1975,Europe,HP,98.0
saab 99le,1975,Europe,HP,115.0
honda civic cvcc,1975,Japan,HP,53.0
fiat 131,1976,Europe,HP,86.0
opel 1900,1976,Europe,HP,81.0
capri ii,1976,USA,HP,92.0
dodge colt,1976,USA,HP,79.0
renault 12tl,1976,Europe,HP,83.0
chevrolet chevelle malibu classic,1976,USA,HP,140.0
dodge coronet brougham,1976,USA,HP,150.0
amc matador,1976,USA,HP,120.0
ford gran torino,1976,USA,HP,152.0
plymouth valiant,1976,USA,HP,100.0
chevrolet nova,1976,USA,HP,105.0
ford maverick,1976,USA,HP,81.0
amc hornet,1976,USA,HP,90.0
chevrolet chevette,1976,USA,HP,52.0
chevrolet woody,1976,USA,HP,60.0
vw rabbit,1976,Europe,HP,70.0
honda civic,1976,Japan,HP,53.0
dodge aspen se,1976,USA,HP,100.0
ford granada ghia,1976,USA,HP,78.0
pontiac ventura sj,1976,USA,HP,110.0
amc pacer d/l,1976,USA,HP,95.0
volkswagen rabbit,1976,Europe,HP,71.0
datsun b-210,1976,Japan,HP,70.0
toyota corolla,1976,Japan,HP,75.0
ford pinto,1976,USA,HP,72.0
volvo 245,1976,Europe,HP,102.0
plymouth volare premier v8,1976,USA,HP,150.0
peugeot 504,1976,Europe,HP,88.0
toyota mark ii,1976,Japan,HP,108.0
mercedes-benz 280s,1976,Europe,HP,120.0
cadillac seville,1976,USA,HP,180.0
chevy c10,1976,USA,HP,145.0
ford f108,1976,USA,HP,130.0
dodge d100,1976,USA,HP,150.0
honda accord cvcc,1977,Japan,HP,68.0
buick opel isuzu deluxe,1977,USA,HP,80.0
renault 5 gtl,1977,Europe,HP,58.0
plymouth arrow gs,1977,USA,HP,96.0
datsun f-10 hatchback,1977,Japan,HP,70.0
chevrolet caprice classic,1977,USA,HP,145.0
oldsmobile cutlass supreme,1977,USA,HP,110.0
dodge monaco brougham,1977,USA,HP,145.0
mercury cougar brougham,1977,USA,HP,130.0
chevrolet concours,1977,USA,HP,110.0
buick skylark,1977,USA,HP,105.0
plymouth volare custom,1977,USA,HP,100.0
ford granada,1977,USA,HP,98.0
pontiac grand prix lj,1977,USA,HP,180.0
chevrolet monte carlo landau,1977,USA,HP,170.0
chrysler cordoba,1977,USA,HP,190.0
ford thunderbird,1977,USA,HP,149.0
volkswagen rabbit custom,1977,Europe,HP,78.0
pontiac sunbird coupe,1977,USA,HP,88.0
toyota corolla liftback,1977,Japan,HP,75.0
ford mustang ii 2+2,1977,USA,HP,89.0
chevrolet chevette,1977,USA,HP,63.0
dodge colt m/m,1977,USA,HP,83.0
subaru dl,1977,Japan,HP,67.0
volkswagen dasher,1977,Europe,HP,78.0
datsun 810,1977,Japan,HP,97.0
bmw 320i,1977,Europe,HP,110.0
mazda rx-4,1977,Japan,HP,110.0
volkswagen rabbit custom diesel,1978,Europe,HP,48.0
ford fiesta,1978,USA,HP,66.0
mazda glc deluxe,1978,Japan,HP,52.0
datsun b210 gx,1978,Japan,HP,70.0
honda civic cvcc,1978,Japan,HP,60.0
oldsmobile cutlass salon brougham,1978,USA,HP,110.0
dodge diplomat,1978,USA,HP,140.0
mercury monarch ghia,1978,USA,HP,139.0
pontiac phoenix lj,1978,USA,HP,105.0
chevrolet malibu,1978,USA,HP,95.0
ford fairmont (auto),1978,USA,HP,85.0
ford fairmont (man),1978,USA,HP,88.0
plymouth volare,1978,USA,HP,100.0
amc concord,1978,USA,HP,90.0
buick century special,1978,USA,HP,105.0
mercury zephyr,1978,USA,HP,85.0
dodge aspen,1978,USA,HP,110.0
amc concord d/l,1978,USA,HP,120.0
chevrolet monte carlo landau,1978,USA,HP,145.0
buick regal sport coupe (turbo),1978,USA,HP,165.0
ford futura,1978,USA,HP,139.0
dodge magnum xe,1978,USA,HP,140.0
chevrolet chevette,1978,USA,HP,68.0
toyota corona,1978,Japan,HP,95.0
datsun 510,1978,Japan,HP,97.0
dodge omni,1978,USA,HP,75.0
toyota celica gt liftback,1978,Japan,HP,95.0
plymouth sapporo,1978,USA,HP,105.0
oldsmobile starfire sx,1978,USA,HP,85.0
datsun 200-sx,1978,Japan,HP,97.0
audi 5000,1978,Europe,HP,103.0
volvo 264gl,1978,Europe,HP,125.0
saab 99gle,1978,Europe,HP,115.0
peugeot 604sl,1978,Europe,HP,133.0
volkswagen scirocco,1978,Europe,HP,71.0
honda accord lx,1978,Japan,HP,68.0
pontiac lemans v6,1979,USA,HP,115.0
mercury zephyr 6,1979,USA,HP,85.0
ford fairmont 4,1979,USA,HP,88.0
amc concord dl 6,1979,USA,HP,90.0
dodge aspen 6,1979,USA,HP,110.0
chevrolet caprice classic,1979,USA,HP,130.0
ford ltd landau,1979,USA,HP,129.0
mercury grand marquis,1979,USA,HP,138.0
dodge st. regis,1979,USA,HP,135.0
buick estate wagon (sw),1979,USA,HP,155.0
ford country squire (sw),1979,USA,HP,142.0
chevrolet malibu classic (sw),1979,USA,HP,125.0
chrysler lebaron town @ country (sw),1979,USA,HP,150.0
vw rabbit custom,1979,Europe,HP,71.0
maxda glc deluxe,1979,Japan,HP,65.0
dodge colt hatchback custom,1979,USA,HP,80.0
amc spirit dl,1979,USA,HP,80.0
mercedes benz 300d,1979,Europe,HP,77.0
cadillac eldorado,1979,USA,HP,125.0
peugeot 504,1979,Europe,HP,71.0
oldsmobile cutlass salon brougham,1979,USA,HP,90.0
plymouth horizon,1979,USA,HP,70.0
plymouth horizon tc3,1979,USA,HP,70.0
datsun 210,1979,Japan,HP,65.0
fiat strada custom,1979,Europe,HP,69.0
buick skylark limited,1979,USA,HP,90.0
chevrolet citation,1979,USA,HP,115.0
oldsmobile omega brougham,1979,USA,HP,115.0
pontiac phoenix,1979,USA,HP,90.0
vw rabbit,1980,Europe,HP,76.0
toyota corolla tercel,1980,Japan,HP,60.0
chevrolet chevette,1980,USA,HP,70.0
datsun 310,1980,Japan,HP,65.0
chevrolet citation,1980,USA,HP,90.0
ford fairmont,1980,USA,HP,88.0
amc concord,1980,USA,HP,90.0
dodge aspen,1980,USA,HP,90.0
audi 4000,1980,Europe,HP,78.0
toyota corona liftback,1980,Japan,HP,90.0
mazda 626,1980,Japan,HP,75.0
datsun 510 hatchback,1980,Japan,HP,92.0
toyota corolla,1980,Japan,HP,75.0
mazda glc,1980,Japan,HP,65.0
dodge colt,1980,USA,HP,105.0
datsun 210,1980,Japan,HP,65.0
vw rabbit c (diesel),1980,Europe,HP,48.0
vw dasher (diesel),1980,Europe,HP,48.0
audi 5000s (diesel),1980,Europe,HP,67.0
mercedes-benz 240d,1980,Europe,HP,67.0
honda civic 1500 gl,1980,Japan,HP,67.0
subaru dl,1980,Japan,HP,67.0
vokswagen rabbit,1980,Europe,HP,62.0
datsun 280-zx,1980,Japan,HP,132.0
mazda rx-7 gs,1980,Japan,HP,100.0
triumph tr7 coupe,1980,Europe,HP,88.0
honda accord,1980,Japan,HP,72.0
plymouth reliant,1981,USA,HP,84.0
buick skylark,1981,USA,HP,84.0
dodge aries wagon (sw),1981,USA,HP,92.0
chevrolet citation,1981,USA,HP,110.0
plymouth reliant,1981,USA,HP,84.0
toyota starlet,1981,Japan,HP,58.0
plymouth champ,1981,USA,HP,64.0
honda civic 1300,1981,Japan,HP,60.0
subaru,1981,Japan,HP,67.0
datsun 210 mpg,1981,Japan,HP,65.0
toyota tercel,1981,Japan,HP,62.0
mazda glc 4,1981,Japan,HP,68.0
plymouth horizon 4,1981,USA,HP,63.0
ford escort 4w,1981,USA,HP,65.0
ford escort 2h,1981,USA,HP,65.0
volkswagen jetta,1981,Europe,HP,74.0
honda prelude,1981,Japan,HP,75.0
toyota corolla,1981,Japan,HP,75.0
datsun 200sx,1981,Japan,HP,100.0
mazda 626,1981,Japan,HP,74.0
peugeot 505s turbo diesel,1981,Europe,HP,80.0
volvo diesel,1981,Europe,HP,76.0
toyota cressida,1981,Japan,HP,116.0
datsun 810 maxima,1981,Japan,HP,120.0
buick century,1981,USA,HP,110.0
oldsmobile cutlass ls,1981,USA,HP,105.0
ford granada gl,1981,USA,HP,88.0
chrysler lebaron salon,1981,USA,HP,85.0
chevrolet cavalier,1982,USA,HP,88.0
chevrolet cavalier wagon,1982,USA,HP,88.0
chevrolet cavalier 2-door,1982,USA,HP,88.0
pontiac j2000 se hatchback,1982,USA,HP,85.0
dodge aries se,1982,USA,HP,84.0
pontiac phoenix,1982,USA,HP,90.0
ford fairmont futura,1982,USA,HP,92.0
volkswagen rabbit l,1982,Europe,HP,74.0
mazda glc custom l,1982,Japan,HP,68.0
mazda glc custom,1982,Japan,HP,68.0
plymouth horizon miser,1982,USA,HP,63.0
mercury lynx l,1982,USA,HP,70.0
nissan stanza xe,1982,Japan,HP,88.0
honda accord,1982,Japan,HP,75.0
toyota corolla,1982,Japan,HP,70.0
honda civic,1982,Japan,HP,67.0
honda civic (auto),1982,Japan,HP,67.0
datsun 310 gx,1982,Japan,HP,67.0
buick century limited,1982,USA,HP,110.0
oldsmobile cutlass ciera (diesel),1982,USA,HP,85.0
chrysler lebaron medallion,1982,USA,HP,92.0
ford granada l,1982,USA,HP,112.0
toyota celica gt,1982,Japan,HP,96.0
dodge charger 2.2,1982,USA,HP,84.0
chevrolet camaro,1982,USA,HP,90.0
ford mustang gl,1982,USA,HP,86.0
vw pickup,1982,Europe,HP,52.0
dodge rampage,1982,USA,HP,84.0
ford ranger,1982,USA,HP,79.0
chevy s-10,1982,USA,HP,82.0
chevrolet chevelle malibu,1970,USA,Acceleration,12.0
buick skylark 320,1970,USA,Acceleration,11.5
plymouth satellite,1970,USA,Acceleration,11.0
amc rebel sst,1970,USA,Acceleration,12.0
ford torino,1970,USA,Acceleration,10.5
ford galaxie 500,1970,USA,Acceleration,10.0
chevrolet impala,1970,USA,Acceleration,9.0
plymouth fury iii,1970,USA,Acceleration,8.5
pontiac catalina,1970,USA,Acceleration,10.0
amc ambassador dpl,1970,USA,Acceleration,8.5
dodge challenger se,1970,USA,Acceleration,10.0
plymouth 'cuda 340,1970,USA,Acceleration,8.0
chevrolet monte carlo,1970,USA,Acceleration,9.5
buick estate wagon (sw),1970,USA,Acceleration,10.0
toyota corona mark ii,1970,Japan,Acceleration,15.0
plymouth duster,1970,USA,Acceleration,15.5
amc hornet,1970,USA,Acceleration,15.5
ford maverick,1970,USA,Acceleration,16.0
datsun pl510,1970,Japan,Acceleration,14.5
volkswagen 1131 deluxe sedan,1970,Europe,Acceleration,20.5
peugeot 504,1970,Europe,Acceleration,17.5
audi 100 ls,1970,Europe,Acceleration,14.5
saab 99e,1970,Europe,Acceleration,17.5
bmw 2002,1970,Europe,Acceleration,12.5
amc gremlin,1970,USA,Acceleration,15.0
ford f250,1970,USA,Acceleration,14.0
chevy c20,1970,USA,Acceleration,15.0
dodge d200,1970,USA,Acceleration,13.5
hi 1200d,1970,USA,Acceleration,18.5
datsun pl510,1971,Japan,Acceleration,14.5
chevrolet vega 2300,1971,USA,Acceleration,15.5
toyota corona,1971,Japan,Acceleration,14.0
ford pinto,1971,USA,Acceleration,19.0
amc gremlin,1971,USA,Acceleration,13.0
plymouth satellite custom,1971,USA,Acceleration,15.5
chevrolet chevelle malibu,1971,USA,Acceleration,15.5
ford torino 500,1971,USA,Acceleration,15.5
amc matador,1971,USA,Acceleration,15.5
chevrolet impala,1971,USA,Acceleration,12.0
pontiac catalina brougham,1971,USA,Acceleration,11.5
ford galaxie 500,1971,USA,Acceleration,13.5
plymouth fury iii,1971,USA,Acceleration,13.0
dodge monaco (sw),1971,USA,Acceleration,11.5
ford country squire (sw),1971,USA,Acceleration,12.0
pontiac safari (sw),1971,USA,Acceleration,12.0
amc hornet sportabout (sw),1971,USA,Acceleration,13.5
chevrolet vega (sw),1971,USA,Acceleration,19.0
pontiac firebird,1971,USA,Acceleration,15.0
ford mustang,1971,USA,Acceleration,14.5
mercury capri 2000,1971,USA,Acceleration,14.0
opel 1900,1971,Europe,Acceleration,14.0
peugeot 304,1971,Europe,Acceleration,19.5
fiat 124b,1971,Europe,Acceleration,14.5
toyota corolla 1200,1971,Japan,Acceleration,19.0
datsun 1200,1971,Japan,Acceleration,18.0
volkswagen model 111,1971,Europe,Acceleration,19.0
plymouth cricket,1971,USA,Acceleration,20.5
toyota corona hardtop,1972,Japan,Acceleration,15.5
dodge colt hardtop,1972,USA,Acceleration,17.0
volkswagen type 3,1972,Europe,Acceleration,23.5
chevrolet vega,1972,USA,Acceleration,19.5
ford pinto runabout,1972,USA,Acceleration,16.5
chevrolet impala,1972,USA,Acceleration,12.0
pontiac catalina,1972,USA,Acceleration,12.0
plymouth fury iii,1972,USA,Acceleration,13.5
ford galaxie 500,1972,USA,Acceleration,13.0
amc ambassador sst,1972,USA,Acceleration,11.5
mercury marquis,1972,USA,Acceleration,11.0
buick lesabre custom,1972,USA,Acceleration,13.5
oldsmobile delta 88 royale,1972,USA,Acceleration,13.5
chrysler newport royal,1972,USA,Acceleration,12.5
mazda rx2 coupe,1972,Japan,Acceleration,13.5
amc matador (sw),1972,USA,Acceleration,12.5
chevrolet chevelle concours (sw),1972,USA,Acceleration,14.0
ford gran torino (sw),1972,USA,Acceleration,16.0
plymouth satellite custom (sw),1972,USA,Acceleration,14.0
volvo 145e (sw),1972,Europe,Acceleration,14.5
volkswagen 411 (sw),1972,Europe,Acceleration,18.0
peugeot 504 (sw),1972,Europe,Acceleration,19.5
renault 12 (sw),1972,Europe,Acceleration,18.0
ford pinto (sw),1972,USA,Acceleration,16.0
datsun 510 (sw),1972,Japan,Acceleration,17.0
toyouta corona mark ii (sw),1972,Japan,Acceleration,14.5
dodge colt (sw),1972,USA,Acceleration,15.0
toyota corolla 1600 (sw),1972,Japan,Acceleration,16.5
buick century 350,1973,USA,Acceleration,13.0
amc matador,1973,USA,Acceleration,11.5
chevrolet malibu,1973,USA,Acceleration,13.0
ford gran torino,1973,USA,Acceleration,14.5
dodge coronet custom,1973,USA,Acceleration,12.5
mercury marquis brougham,1973,USA,Acceleration,11.5
chevrolet caprice classic,1973,USA,Acceleration,12.0
ford ltd,1973,USA,Acceleration,13.0
plymouth fury gran sedan,1973,USA,Acceleration,14.5
chrysler new yorker brougham,1973,USA,Acceleration,11.0
buick electra 225 custom,1973,USA,Acceleration,11.0
amc ambassador brougham,1973,USA,Acceleration,11.0
plymouth valiant,1973,USA,Acceleration,16.5
chevrolet nova custom,1973,USA,Acceleration,18.0
amc hornet,1973,USA,Acceleration,16.0
ford maverick,1973,USA,Acceleration,16.5
plymouth duster,1973,USA,Acceleration,16.0
volkswagen super beetle,1973,Europe,Acceleration,21.0
chevrolet impala,1973,USA,Acceleration,14.0
ford country,1973,USA,Acceleration,12.5
plymouth custom suburb,1973,USA,Acceleration,13.0
oldsmobile vista cruiser,1973,USA,Acceleration,12.5
amc gremlin,1973,USA,Acceleration,15.0
toyota carina,1973,Japan,Acceleration,19.0
chevrolet vega,1973,USA,Acceleration,19.5
datsun 610,1973,Japan,Acceleration,16.5
maxda rx3,1973,Japan,Acceleration,13.5
ford pinto,1973,USA,Acceleration,18.5
mercury capri v6,1973,USA,Acceleration,14.0
fiat 124 sport coupe,1973,Europe,Acceleration,15.5
chevrolet monte carlo s,1973,USA,Acceleration,13.0
pontiac grand prix,1973,USA,Acceleration,9.5
fiat 128,1973,Europe,Acceleration,19.5
opel manta,1973,Europe,Acceleration,15.5
audi 100ls,1973,Europe,Acceleration,14.0
volvo 144ea,1973,Europe,Acceleration,15.5
dodge dart custom,1973,USA,Acceleration,11.0
saab 99le,1973,Europe,Acceleration,14.0
toyota mark ii,1973,Japan,Acceleration,13.5
oldsmobile omega,1973,USA,Acceleration,11.0
plymouth duster,1974,USA,Acceleration,16.5
ford maverick,1974,USA,Acceleration,17.0
amc hornet,1974,USA,Acceleration,16.0
chevrolet nova,1974,USA,Acceleration,17.0
datsun b210,1974,Japan,Acceleration,19.0
ford pinto,1974,USA,Acceleration,16.5
toyota corolla 1200,1974,Japan,Acceleration,21.0
chevrolet vega,1974,USA,Acceleration,17.0
chevrolet chevelle malibu classic,1974,USA,Acceleration,17.0
amc matador,1974,USA,Acceleration,18.0
plymouth satellite sebring,1974,USA,Acceleration,16.5
ford gran torino,1974,USA,Acceleration,14.0
buick century luxus (sw),1974,USA,Acceleration,14.5
dodge coronet custom (sw),1974,USA,Acceleration,13.5
ford gran torino (sw),1974,USA,Acceleration,16.0
amc matador (sw),1974,USA,Acceleration,15.5
audi fox,1974,Europe,Acceleration,16.5
volkswagen dasher,1974,Europe,Acceleration,15.5
opel manta,1974,Europe,Acceleration,14.5
toyota corona,1974,Japan,Acceleration,16.5
datsun 710,1974,Japan,Acceleration,19.0
dodge colt,1974,USA,Acceleration,14.5
fiat 128,1974,Europe,Acceleration,15.5
fiat 124 tc,1974,Europe,Acceleration,14.0
honda civic,1974,Japan,Acceleration,15.0
subaru,1974,Japan,Acceleration,15.5
fiat x1.9,1974,Europe,Acceleration,16.0
plymouth valiant custom,1975,USA,Acceleration,16.0
chevrolet nova,1975,USA,Acceleration,16.0
mercury monarch,1975,USA,Acceleration,21.0
ford maverick,1975,USA,Acceleration,19.5
pontiac catalina,1975,USA,Acceleration,11.5
chevrolet bel air,1975,USA,Acceleration,14.0
plymouth grand fury,1975,USA,Acceleration,14.5
ford ltd,1975,USA,Acceleration,13.5
buick century,1975,USA,Acceleration,21.0
chevroelt chevelle malibu,1975,USA,Acceleration,18.5
amc matador,1975,USA,Acceleration,19.0
plymouth fury,1975,USA,Acceleration,19.0
buick skyhawk,1975,USA,Acceleration,15.0
chevrolet monza 2+2,1975,USA,Acceleration,13.5
ford mustang ii,1975,USA,Acceleration,12.0
toyota corolla,1975,Japan,Acceleration,16.0
ford pinto,1975,USA,Acceleration,17.0
amc gremlin,1975,USA,Acceleration,16.0
pontiac astro,1975,USA,Acceleration,18.5
toyota corona,1975,Japan,Acceleration,13.5
volkswagen dasher,1975,Europe,Acceleration,16.5
datsun 710,1975,Japan,Acceleration,17.0
ford pinto,1975,USA,Acceleration,14.5
volkswagen rabbit,1975,Europe,Acceleration,14.0
amc pacer,1975,USA,Acceleration,17.0
audi 100ls,1975,Europe,Acceleration,15.0
peugeot 504,1975,Europe,Acceleration,17.0
volvo 244dl,1975,Europe,Acceleration,14.5
saab 99le,1975,Europe,Acceleration,13.5
honda civic cvcc,1975,Japan,Acceleration,17.5
fiat 131,1976,Europe,Acceleration,15.5
opel 1900,1976,Europe,Acceleration,16.9
capri ii,1976,USA,Acceleration,14.9
dodge colt,1976,USA,Acceleration,17.7
renault 12tl,1976,Europe,Acceleration,15.3
chevrolet chevelle malibu classic,1976,USA,Acceleration,13.0
dodge coronet brougham,1976,USA,Acceleration,13.0
amc matador,1976,USA,Acceleration,13.9
ford gran torino,1976,USA,Acceleration,12.8
plymouth valiant,1976,USA,Acceleration,15.4
chevrolet nova,1976,USA,Acceleration,14.5
ford maverick,1976,USA,Acceleration,17.6
amc hornet,1976,USA,Acceleration,17.6
chevrolet chevette,1976,USA,Acceleration,22.2
chevrolet woody,1976,USA,Acceleration,22.1
vw rabbit,1976,Europe,Acceleration,14.2
honda civic,1976,Japan,Acceleration,17.4
dodge aspen se,1976,USA,Acceleration,17.7
ford granada ghia,1976,USA,Acceleration,21.0
pontiac ventura sj,1976,USA,Acceleration,16.2
amc pacer d/l,1976,USA,Acceleration,17.8
volkswagen rabbit,1976,Europe,Acceleration,12.2
datsun b-210,1976,Japan,Acceleration,17.0
toyota corolla,1976,Japan,Acceleration,16.4
ford pinto,1976,USA,Acceleration,13.6
volvo 245,1976,Europe,Acceleration,15.7
plymouth volare premier v8,1976,USA,Acceleration,13.2
peugeot 504,1976,Europe,Acceleration,21.9
toyota mark ii,1976,Japan,Acceleration,15.5
mercedes-benz 280s,1976,Europe,Acceleration,16.7
cadillac seville,1976,USA,Acceleration,12.1
chevy c10,1976,USA,Acceleration,12.0
ford f108,1976,USA,Acceleration,15.0
dodge d100,1976,USA,Acceleration,14.0
honda accord cvcc,1977,Japan,Acceleration,18.5
buick opel isuzu deluxe,1977,USA,Acceleration,14.8
renault 5 gtl,1977,Europe,Acceleration,18.6
plymouth arrow gs,1977,USA,Acceleration,15.5
datsun f-10 hatchback,1977,Japan,Acceleration,16.8
chevrolet caprice classic,1977,USA,Acceleration,12.5
oldsmobile cutlass supreme,1977,USA,Acceleration,19.0
dodge monaco brougham,1977,USA,Acceleration,13.7
mercury cougar brougham,1977,USA,Acceleration,14.9
chevrolet concours,1977,USA,Acceleration,16.4
buick skylark,1977,USA,Acceleration,16.9
plymouth volare custom,1977,USA,Acceleration,17.7
ford granada,1977,USA,Acceleration,19.0
pontiac grand prix lj,1977,USA,Acceleration,11.1
chevrolet monte carlo landau,1977,USA,Acceleration,11.4
chrysler cordoba,1977,USA,Acceleration,12.2
ford thunderbird,1977,USA,Acceleration,14.5
volkswagen rabbit custom,1977,Europe,Acceleration,14.5
pontiac sunbird coupe,1977,USA,Acceleration,16.0
toyota corolla liftback,1977,Japan,Acceleration,18.2
ford mustang ii 2+2,1977,USA,Acceleration,15.8
chevrolet chevette,1977,USA,Acceleration,17.0
dodge colt m/m,1977,USA,Acceleration,15.9
subaru dl,1977,Japan,Acceleration,16.4
volkswagen dasher,1977,Europe,Acceleration,14.1
datsun 810,1977,Japan,Acceleration,14.5
bmw 320i,1977,Europe,Acceleration,12.8
mazda rx-4,1977,Japan,Acceleration,13.5
volkswagen rabbit custom diesel,1978,Europe,Acceleration,21.5
ford fiesta,1978,USA,Acceleration,14.4
mazda glc deluxe,1978,Japan,Acceleration,19.4
datsun b210 gx,1978,Japan,Acceleration,18.6
honda civic cvcc,1978,Japan,Acceleration,16.4
oldsmobile cutlass salon brougham,1978,USA,Acceleration,15.5
dodge diplomat,1978,USA,Acceleration,13.2
mercury monarch ghia,1978,USA,Acceleration,12.8
pontiac phoenix lj,1978,USA,Acceleration,19.2
chevrolet malibu,1978,USA,Acceleration,18.2
ford fairmont (auto),1978,USA,Acceleration,15.8
ford fairmont (man),1978,USA,Acceleration,15.4
plymouth volare,1978,USA,Acceleration,17.2
amc concord,1978,USA,Acceleration,17.2
buick century special,1978,USA,Acceleration,15.8
mercury zephyr,1978,USA,Acceleration,16.7
dodge aspen,1978,USA,Acceleration,18.7
amc concord d/l,1978,USA,Acceleration,15.1
chevrolet monte carlo landau,1978,USA,Acceleration,13.2
buick regal sport coupe (turbo),1978,USA,Acceleration,13.4
ford futura,1978,USA,Acceleration,11.2
dodge magnum xe,1978,USA,Acceleration,13.7
chevrolet chevette,1978,USA,Acceleration,16.5
toyota corona,1978,Japan,Acceleration,14.2
datsun 510,1978,Japan,Acceleration,14.7
dodge omni,1978,USA,Acceleration,14.5
toyota celica gt liftback,1978,Japan,Acceleration,14.8
plymouth sapporo,1978,USA,Acceleration,16.7
oldsmobile starfire sx,1978,USA,Acceleration,17.6
datsun 200-sx,1978,Japan,Acceleration,14.9
audi 5000,1978,Europe,Acceleration,15.9
volvo 264gl,1978,Europe,Acceleration,13.6
saab 99gle,1978,Europe,Acceleration,15.7
peugeot 604sl,1978,Europe,Acceleration,15.8
volkswagen scirocco,1978,Europe,Acceleration,14.9
honda accord lx,1978,Japan,Acceleration,16.6
pontiac lemans v6,1979,USA,Acceleration,15.4
mercury zephyr 6,1979,USA,Acceleration,18.2
ford fairmont 4,1979,USA,Acceleration,17.3
amc concord dl 6,1979,USA,Acceleration,18.2
dodge aspen 6,1979,USA,Acceleration,16.6
chevrolet caprice classic,1979,USA,Acceleration,15.4
ford ltd landau,1979,USA,Acceleration,13.4
mercury grand marquis,1979,USA,Acceleration,13.2
dodge st. regis,1979,USA,Acceleration,15.2
buick estate wagon (sw),1979,USA,Acceleration,14.9
ford country squire (sw),1979,USA,Acceleration,14.3
chevrolet malibu classic (sw),1979,USA,Acceleration,15.0
chrysler lebaron town @ country (sw),1979,USA,Acceleration,13.0
vw rabbit custom,1979,Europe,Acceleration,14.0
maxda glc deluxe,1979,Japan,Acceleration,15.2
dodge colt hatchback custom,1979,USA,Acceleration,14.4
amc spirit dl,1979,USA,Acceleration,15.0
mercedes benz 300d,1979,Europe,Acceleration,20.1
cadillac eldorado,1979,USA,Acceleration,17.4
peugeot 504,1979,Europe,Acceleration,24.8
oldsmobile cutlass salon brougham,1979,USA,Acceleration,22.2
plymouth horizon,1979,USA,Acceleration,13.2
plymouth horizon tc3,1979,USA,Acceleration,14.9
datsun 210,1979,Japan,Acceleration,19.2
fiat strada custom,1979,Europe,Acceleration,14.7
buick skylark limited,1979,USA,Acceleration,16.0
chevrolet citation,1979,USA,Acceleration,11.3
oldsmobile omega brougham,1979,USA,Acceleration,12.9
pontiac phoenix,1979,USA,Acceleration,13.2
vw rabbit,1980,Europe,Acceleration,14.7
toyota corolla tercel,1980,Japan,Acceleration,18.8
chevrolet chevette,1980,USA,Acceleration,15.5
datsun 310,1980,Japan,Acceleration,16.4
chevrolet citation,1980,USA,Acceleration,16.5
ford fairmont,1980,USA,Acceleration,18.1
